text,fileyear,rating_quarters
nature operation absolute software corporation company incorporate company act british columbia november,2018,4.0
remain financial asset assess collectively base nature asset,2018,1.0
asset retirement obligation incur decommissioning reclamation cost generally occur environmental disturbance cause exploration evaluation development ongoing production,2018,4.0
environmental services contract loss provision,2018,1.0
global short sea shipping segment include company interest joint venture novaalgoma cement carrier limit novaalgoma short sea holdings ltd novaalgoma bulk holdings ltd,2018,1.0
aggregation operate segment single operating segment permit aggregation consistent core principle standard operate segment similar economic characteristic operate segment number similarity include similarity nature product production process regulatory environment,2018,1.0
finance lease obligation provision environmental rehabilitation,2018,1.0
report contain outline nature audit express opinion consolidated financial statement,2018,4.0
property title subject unregistered prior agreement unregistered claim aboriginal claim non compliance regulatory environmental requirement,2018,4.0
judgement estimate apply quantify liability base variety factor nature claim conflict legal proceeding potential payable advice legal counsel prior experience likelihood loss,2018,1.0
short term nature fair value financial asset liability approximate carrying amount,2018,4.0
cost ongoing current program prevent control pollution charge profit loss incur,2018,1.0
time time cppi use derivative financial instrument normal course operation means manage foreign exchange interest rate commodity price energy price risk,2018,1.0
revenue recognition accounting policy applicable january company evaluate contractual arrangement enter evaluate nature promise make right obligation arrangement determine nature performance obligation,2018,4.0
estimate carry value inventory arise nature valuation ore stockpile concentrate base appropriate allocation direct mining cost direct labour material cost site overhead depletion amortization,2018,4.0
amendment application environmental permit construct operate tonne day tpd,2018,4.0
investment tax credit include net item period expense nature reduction property equipment item capital nature reliably estimable company reasonable assurance compliance relevant objective condition credit realize,2018,1.0
short term nature fair value financial asset liability approximate carrying amount,2018,1.0
decade ago enerflex recognize expansive global project strengthen project execution record year opportunity natural gas set develop implement booking backlog,2018,1.0
classification depend nature purpose financial asset determine time initial recognition,2018,1.0
cost sale nature month end month end december december,2018,1.0
security deposit total cash post mackenzie valley land water board mvlwb hold aboriginal affair northern development canada land use permit water license yellowknife gold project nearby big sky property,2018,4.0
investment tax credit account reduction relate expenditure item current nature reduction related asset cost item capital nature provide company reasonable assurance tax credit realize,2018,1.0
nature forward look statement require assumption subject inherent risk uncertainty,2018,4.0
december ontario energy board oeb approve hydro network rate revenue requirement million,2018,1.0
financial asset classify accord nature use company time initial recognition,2018,1.0
energy ltd kel keyera energy inc kei keyera rimbey ltd krl keyera ltd krpl,2018,4.0
consider importance define benefit obligation long term nature plan change assumption significant impact define benefit plan asset liability pension plan post employment benefit expense,2018,1.0
property subject prior agreement transfer title affect undetected defect government renegotiation legal claim non compliance regulatory social environmental requirement,2018,4.0
accompany consolidated financial statement meg energy corp corporation responsibility management,2018,1.0
addition company exploration activity mega participate indirectly uranium sector security holding public company include significant long term investment nexgen energy ltd nexgen,2018,1.0
accordingly nature estimate fair value subjective necessarily result precise determination,2018,4.0
mullen group acquire canadian hydrovac strategy invest energy sector financial result include oilfield service segment,2018,4.0
audit accompanying consolidated balance sheet obsidian energy ltd company december related consolidated statement loss change equity cash flow year end related note financial statement schedule collectively refer consolidated financial statement,2018,4.0
continue plan swift timely transition san gregorio underground veta underground project need require external financing environmental permit veta currently available,2018,1.0
risk include limit challenge secure adequate capital exploration development operational risk inherent mining industry change government policy regulation ability obtain necessary environmental permit challenge future profitable production alternatively osisko ability dispose interest advantageous basis global economic commodity price volatility uncertain,2018,1.0
perseus produce record quantity gold west african mine materially improve site cost include production cost royalty sustain capital aisc,2018,4.0
consolidated financial statement note independent auditor report shareholder phx energy services corp,2018,1.0
greenstone gold non cash operating expense non cash share base payment measurement environmental rehabilitation provision loss,2018,4.0
fund redwood mlp infrastructure income fund purpose global resource fund redwood resource growth income fund,2018,1.0
uncertain nature provision degree uncertainty inherent measurement,2018,1.0
form backbone approach summary achieve social environmental economic promise,2018,4.0
year end december nature business basis presentation,2018,1.0
corporation large independent energy producer cuba extensive oil power operation island,2018,1.0
spark power high voltage services inc addition spark land energy corp spark land energy dissolve year,2018,4.0
gain sale ngx shorcan energy income taxis,2018,1.0
expenditure include engineering design size scope project environmental assessment permitting surface right acquisition capitalize mineral property,2018,1.0
accompany consolidated financial statement toscana energy income corporation corporation relate financial information present financial report responsibility management approve board director,2018,1.0
base total energy financial result prepare accordance ifrs,2018,4.0
ultimate cost reclamation rehabilitation uncertain cost estimate vary response factor include estimate nature extent timing rehabilitation activity technological change regulatory change cost increase compare inflation rate risk free interest rate discount future cash flow foreign exchange rate estimate underlie currency provision ultimately settle,2018,4.0
require use assumption relate future development claim lae future rate claim frequency severity claim inflation payment pattern reinsurance recovery take consideration circumstance company nature insurance policy,2018,4.0
carry value company cash cash equivalent amount receivable account payable accrued liability loan shareholder approximate fair value short term nature financial asset liability,2018,4.0
legal constructive obligation incur restoration rehabilitation environmental cost,2018,4.0
nature operation go concern change year end,2018,4.0
